Created as New Dataset, , 
nm, %R, 
900.0, 12.06, 
896.0, 12.09, 
892.0, 12.15, 
888.0, 12.20, 
884.0, 12.31, 
880.0, 12.40, 
876.0, 12.47, 
872.0, 12.55, 
868.0, 12.60, 
864.0, 12.68, 
860.0, 12.75, 
856.0, 12.79, 
852.0, 11.23, 
848.0, 11.82, 
844.0, 12.28, 
840.0, 12.61, 
836.0, 12.89, 
832.0, 13.12, 
828.0, 13.26, 
824.0, 13.40, 
820.0, 13.57, 
816.0, 13.65, 
812.0, 13.72, 
808.0, 13.84, 
804.0, 14.00, 
800.0, 14.09, 
796.0, 14.18, 
792.0, 14.31, 
788.0, 14.41, 
784.0, 14.49, 
780.0, 14.66, 
776.0, 14.80, 
772.0, 14.92, 
768.0, 15.08, 
764.0, 15.22, 
760.0, 15.39, 
756.0, 15.53, 
752.0, 15.72, 
748.0, 15.89, 
744.0, 16.09, 
740.0, 16.29, 
736.0, 16.50, 
732.0, 16.70, 
728.0, 16.94, 
724.0, 17.15, 
720.0, 17.43, 
716.0, 17.66, 
712.0, 17.96, 
708.0, 18.22, 
704.0, 18.55, 
700.0, 18.88, 
696.0, 19.25, 
692.0, 19.60, 
688.0, 20.03, 
684.0, 20.48, 
680.0, 20.96, 
676.0, 21.47, 
672.0, 22.04, 
668.0, 22.66, 
664.0, 23.31, 
660.0, 24.04, 
656.0, 24.90, 
652.0, 25.81, 
648.0, 26.84, 
644.0, 27.98, 
640.0, 29.26, 
636.0, 30.65, 
632.0, 32.18, 
628.0, 33.79, 
624.0, 35.38, 
620.0, 36.78, 
616.0, 37.73, 
612.0, 37.86, 
608.0, 36.90, 
604.0, 34.86, 
600.0, 32.10, 
596.0, 29.15, 
592.0, 26.15, 
588.0, 23.21, 
584.0, 20.34, 
580.0, 17.82, 
576.0, 15.89, 
572.0, 14.47, 
568.0, 13.17, 
564.0, 11.80, 
560.0, 10.58, 
556.0, 9.80, 
552.0, 9.57, 
548.0, 9.60, 
544.0, 9.54, 
540.0, 9.25, 
536.0, 8.73, 
532.0, 8.16, 
528.0, 7.59, 
524.0, 6.98, 
520.0, 6.36, 
516.0, 5.81, 
512.0, 5.40, 
508.0, 5.14, 
504.0, 4.96, 
500.0, 4.84, 
496.0, 4.75, 
492.0, 4.74, 
488.0, 4.81, 
484.0, 4.98, 
480.0, 5.22, 
476.0, 5.50, 
472.0, 5.83, 
468.0, 6.21, 
464.0, 6.62, 
460.0, 7.07, 
456.0, 7.55, 
452.0, 8.06, 
448.0, 8.58, 
444.0, 9.10, 
440.0, 9.62, 
436.0, 10.16, 
432.0, 10.70, 
428.0, 11.27, 
424.0, 11.85, 
420.0, 12.46, 
416.0, 13.09, 
412.0, 13.76, 
408.0, 14.46, 
404.0, 15.18, 
400.0, 15.91, 
396.0, 16.67, 
392.0, 17.38, 
388.0, 18.07, 
384.0, 18.69, 
380.0, 19.21, 
376.0, 19.69, 
372.0, 20.04, 
368.0, 20.28, 
364.0, 20.51, 
360.0, 20.51, 
356.0, 20.24, 
352.0, 19.74, 
348.0, 18.96, 
344.0, 18.07, 
340.0, 17.12, 
336.0, 16.44, 
332.0, 15.90, 
328.0, 15.36, 
324.0, 14.58, 
320.0, 13.65, 
316.0, 12.46, 
312.0, 11.29, 
308.0, 10.18, 
304.0, 9.25, 
300.0, 8.39, 
