Created as New Dataset, , 
nm, %T, 
900.0, 87.73, 
896.0, 87.68, 
892.0, 87.64, 
888.0, 87.61, 
884.0, 87.58, 
880.0, 87.41, 
876.0, 87.38, 
872.0, 87.31, 
868.0, 87.24, 
864.0, 87.17, 
860.0, 87.12, 
856.0, 87.40, 
852.0, 86.80, 
848.0, 86.48, 
844.0, 86.37, 
840.0, 86.36, 
836.0, 86.42, 
832.0, 86.51, 
828.0, 86.39, 
824.0, 86.45, 
820.0, 86.40, 
816.0, 86.28, 
812.0, 86.20, 
808.0, 86.02, 
804.0, 86.07, 
800.0, 85.99, 
796.0, 85.77, 
792.0, 85.70, 
788.0, 85.48, 
784.0, 85.33, 
780.0, 85.36, 
776.0, 85.27, 
772.0, 85.02, 
768.0, 85.03, 
764.0, 84.88, 
760.0, 84.80, 
756.0, 84.56, 
752.0, 84.46, 
748.0, 84.17, 
744.0, 84.04, 
740.0, 83.99, 
736.0, 83.74, 
732.0, 83.50, 
728.0, 83.37, 
724.0, 83.18, 
720.0, 82.94, 
716.0, 82.65, 
712.0, 82.44, 
708.0, 82.12, 
704.0, 81.91, 
700.0, 81.55, 
696.0, 81.20, 
692.0, 80.87, 
688.0, 80.52, 
684.0, 80.14, 
680.0, 79.65, 
676.0, 79.18, 
672.0, 78.61, 
668.0, 78.03, 
664.0, 77.29, 
660.0, 76.48, 
656.0, 75.63, 
652.0, 74.62, 
648.0, 73.40, 
644.0, 71.98, 
640.0, 70.29, 
636.0, 68.16, 
632.0, 65.62, 
628.0, 62.45, 
624.0, 58.52, 
620.0, 53.74, 
616.0, 48.18, 
612.0, 41.87, 
608.0, 35.47, 
604.0, 29.53, 
600.0, 24.82, 
596.0, 21.72, 
592.0, 20.26, 
588.0, 20.43, 
584.0, 21.87, 
580.0, 24.07, 
576.0, 26.31, 
572.0, 28.18, 
568.0, 30.09, 
564.0, 32.46, 
560.0, 35.03, 
556.0, 36.99, 
552.0, 37.69, 
548.0, 37.60, 
544.0, 37.51, 
540.0, 38.17, 
536.0, 39.59, 
532.0, 41.52, 
528.0, 43.89, 
524.0, 46.75, 
520.0, 50.04, 
516.0, 53.27, 
512.0, 55.95, 
508.0, 58.15, 
504.0, 60.21, 
500.0, 62.67, 
496.0, 65.73, 
492.0, 69.19, 
488.0, 72.64, 
484.0, 75.70, 
480.0, 78.29, 
476.0, 80.33, 
472.0, 82.03, 
468.0, 83.52, 
464.0, 84.75, 
460.0, 85.81, 
456.0, 86.60, 
452.0, 87.17, 
448.0, 87.61, 
444.0, 87.79, 
440.0, 87.84, 
436.0, 87.87, 
432.0, 87.69, 
428.0, 87.54, 
424.0, 87.19, 
420.0, 86.79, 
416.0, 86.33, 
412.0, 85.78, 
408.0, 85.04, 
404.0, 84.09, 
400.0, 82.94, 
396.0, 81.56, 
392.0, 79.79, 
388.0, 77.68, 
384.0, 75.36, 
380.0, 72.76, 
376.0, 69.94, 
372.0, 66.73, 
368.0, 63.75, 
364.0, 60.42, 
360.0, 56.59, 
356.0, 52.57, 
352.0, 48.66, 
348.0, 44.89, 
344.0, 41.91, 
340.0, 39.83, 
336.0, 38.31, 
332.0, 36.69, 
328.0, 34.73, 
324.0, 32.54, 
320.0, 30.70, 
316.0, 29.22, 
312.0, 27.90, 
308.0, 26.28, 
304.0, 24.17, 
300.0, 21.38, 
