nm, A
1000.000000, 0.114856
999.000000, 0.114809
998.000000, 0.114787
997.000000, 0.114825
996.000000, 0.114867
995.000000, 0.114780
994.000000, 0.114803
993.000000, 0.114793
992.000000, 0.114721
991.000000, 0.114671
990.000000, 0.114714
989.000000, 0.114742
988.000000, 0.114695
987.000000, 0.114586
986.000000, 0.114551
985.000000, 0.114535
984.000000, 0.114511
983.000000, 0.114517
982.000000, 0.114640
981.000000, 0.114744
980.000000, 0.114593
979.000000, 0.114889
978.000000, 0.114865
977.000000, 0.114962
976.000000, 0.115020
975.000000, 0.115139
974.000000, 0.115307
973.000000, 0.115609
972.000000, 0.115724
971.000000, 0.115851
970.000000, 0.116125
969.000000, 0.116075
968.000000, 0.116356
967.000000, 0.116506
966.000000, 0.116685
965.000000, 0.116930
964.000000, 0.117013
963.000000, 0.117195
962.000000, 0.117466
961.000000, 0.117685
960.000000, 0.117959
959.000000, 0.118133
958.000000, 0.118319
957.000000, 0.118749
956.000000, 0.118824
955.000000, 0.119251
954.000000, 0.119285
953.000000, 0.119538
952.000000, 0.119655
951.000000, 0.119959
950.000000, 0.120072
949.000000, 0.120436
948.000000, 0.120418
947.000000, 0.120691
946.000000, 0.120779
945.000000, 0.120984
944.000000, 0.121079
943.000000, 0.121362
942.000000, 0.121374
941.000000, 0.121702
940.000000, 0.121850
939.000000, 0.122058
938.000000, 0.122277
937.000000, 0.122406
936.000000, 0.122588
935.000000, 0.122672
934.000000, 0.122805
933.000000, 0.122900
932.000000, 0.123162
931.000000, 0.123235
930.000000, 0.123225
929.000000, 0.123554
928.000000, 0.123599
927.000000, 0.123889
926.000000, 0.123930
925.000000, 0.124323
924.000000, 0.124148
923.000000, 0.124217
922.000000, 0.124497
921.000000, 0.124548
920.000000, 0.124766
919.000000, 0.124767
918.000000, 0.125004
917.000000, 0.125071
916.000000, 0.125336
915.000000, 0.125411
914.000000, 0.125535
913.000000, 0.125640
912.000000, 0.125600
911.000000, 0.125868
910.000000, 0.125935
909.000000, 0.125934
908.000000, 0.126069
907.000000, 0.126275
906.000000, 0.126158
905.000000, 0.126231
904.000000, 0.126434
903.000000, 0.126623
902.000000, 0.126614
901.000000, 0.126749
900.000000, 0.126864
899.000000, 0.126796
898.000000, 0.127024
897.000000, 0.127167
896.000000, 0.127344
895.000000, 0.127359
894.000000, 0.127511
893.000000, 0.127692
892.000000, 0.127892
891.000000, 0.127994
890.000000, 0.127969
889.000000, 0.128087
888.000000, 0.128356
887.000000, 0.128210
886.000000, 0.128368
885.000000, 0.128483
884.000000, 0.128369
883.000000, 0.127979
882.000000, 0.128099
881.000000, 0.128102
880.000000, 0.128056
879.000000, 0.128053
878.000000, 0.128001
877.000000, 0.127881
876.000000, 0.127845
875.000000, 0.127742
874.000000, 0.127764
873.000000, 0.127607
872.000000, 0.127614
871.000000, 0.127599
870.000000, 0.127594
869.000000, 0.127581
868.000000, 0.127356
867.000000, 0.127457
866.000000, 0.127356
865.000000, 0.127352
864.000000, 0.127369
863.000000, 0.127223
862.000000, 0.127210
861.000000, 0.127078
860.000000, 0.127017
859.000000, 0.126933
858.000000, 0.126666
857.000000, 0.126674
856.000000, 0.126612
855.000000, 0.126555
854.000000, 0.126330
853.000000, 0.126350
852.000000, 0.126096
851.000000, 0.126146
850.000000, 0.125787
849.000000, 0.125797
848.000000, 0.125605
847.000000, 0.125581
846.000000, 0.125349
845.000000, 0.125254
844.000000, 0.125096
843.000000, 0.125072
842.000000, 0.124948
841.000000, 0.124790
840.000000, 0.124595
839.000000, 0.124452
838.000000, 0.124279
837.000000, 0.124295
836.000000, 0.124042
835.000000, 0.124039
834.000000, 0.123662
833.000000, 0.123718
832.000000, 0.123617
831.000000, 0.123526
830.000000, 0.123389
829.000000, 0.123052
828.000000, 0.123203
827.000000, 0.123107
826.000000, 0.122916
825.000000, 0.122770
824.000000, 0.122694
823.000000, 0.122647
822.000000, 0.122411
821.000000, 0.122352
820.000000, 0.122315
819.000000, 0.122166
818.000000, 0.122146
817.000000, 0.122113
816.000000, 0.122028
815.000000, 0.122022
814.000000, 0.121954
813.000000, 0.122121
812.000000, 0.121976
811.000000, 0.122025
810.000000, 0.122015
809.000000, 0.121802
808.000000, 0.121843
807.000000, 0.121787
806.000000, 0.122070
805.000000, 0.122039
804.000000, 0.122060
803.000000, 0.121983
802.000000, 0.122173
801.000000, 0.122170
800.000000, 0.122267
799.000000, 0.122422
798.000000, 0.122504
797.000000, 0.122562
796.000000, 0.122855
795.000000, 0.123117
794.000000, 0.122998
793.000000, 0.123121
792.000000, 0.123361
791.000000, 0.123249
790.000000, 0.123542
789.000000, 0.123692
788.000000, 0.123748
787.000000, 0.123859
786.000000, 0.124023
785.000000, 0.124072
784.000000, 0.124425
783.000000, 0.124615
782.000000, 0.124877
781.000000, 0.124926
780.000000, 0.125146
779.000000, 0.125362
778.000000, 0.125537
777.000000, 0.125693
776.000000, 0.125773
775.000000, 0.125973
774.000000, 0.126229
773.000000, 0.126433
772.000000, 0.126728
771.000000, 0.126762
770.000000, 0.126897
769.000000, 0.127176
768.000000, 0.127174
767.000000, 0.127478
766.000000, 0.127782
765.000000, 0.128004
764.000000, 0.128013
763.000000, 0.128210
762.000000, 0.128430
761.000000, 0.128505
760.000000, 0.128714
759.000000, 0.128842
758.000000, 0.128964
757.000000, 0.129059
756.000000, 0.129123
755.000000, 0.129177
754.000000, 0.129283
753.000000, 0.129358
752.000000, 0.129413
751.000000, 0.129537
750.000000, 0.129639
749.000000, 0.129784
748.000000, 0.129823
747.000000, 0.129724
746.000000, 0.129952
745.000000, 0.129959
744.000000, 0.129908
743.000000, 0.129993
742.000000, 0.129957
741.000000, 0.129909
740.000000, 0.129853
739.000000, 0.129953
738.000000, 0.129904
737.000000, 0.129873
736.000000, 0.129774
735.000000, 0.129831
734.000000, 0.129886
733.000000, 0.129696
732.000000, 0.129815
731.000000, 0.129861
730.000000, 0.129968
729.000000, 0.129988
728.000000, 0.130000
727.000000, 0.130087
726.000000, 0.130076
725.000000, 0.130219
724.000000, 0.130257
723.000000, 0.130321
722.000000, 0.130455
721.000000, 0.130541
720.000000, 0.130595
719.000000, 0.130874
718.000000, 0.131018
717.000000, 0.131162
716.000000, 0.131560
715.000000, 0.131544
714.000000, 0.132013
713.000000, 0.132131
712.000000, 0.132583
711.000000, 0.133047
710.000000, 0.133396
709.000000, 0.133886
708.000000, 0.134529
707.000000, 0.135217
706.000000, 0.136098
705.000000, 0.137000
704.000000, 0.138017
703.000000, 0.139224
702.000000, 0.140774
701.000000, 0.142469
700.000000, 0.144475
699.000000, 0.146873
698.000000, 0.149589
697.000000, 0.153023
696.000000, 0.156737
695.000000, 0.161279
694.000000, 0.166679
693.000000, 0.172955
692.000000, 0.180297
691.000000, 0.189074
690.000000, 0.198842
689.000000, 0.210266
688.000000, 0.223235
687.000000, 0.237642
686.000000, 0.253545
685.000000, 0.270567
684.000000, 0.288206
683.000000, 0.306170
682.000000, 0.323782
681.000000, 0.340403
680.000000, 0.355474
679.000000, 0.368104
678.000000, 0.378424
677.000000, 0.385714
