Created as New Dataset, , 
nm, %R, 
900.0, 20.04, 
896.0, 20.23, 
892.0, 20.42, 
888.0, 20.60, 
884.0, 20.94, 
880.0, 21.22, 
876.0, 21.46, 
872.0, 21.71, 
868.0, 21.97, 
864.0, 22.24, 
860.0, 21.49, 
856.0, 20.34, 
852.0, 19.09, 
848.0, 18.01, 
844.0, 17.41, 
840.0, 19.56, 
836.0, 21.77, 
832.0, 23.45, 
828.0, 24.52, 
824.0, 25.44, 
820.0, 26.06, 
816.0, 26.75, 
812.0, 27.37, 
808.0, 27.98, 
804.0, 28.69, 
800.0, 29.18, 
796.0, 29.83, 
792.0, 30.47, 
788.0, 31.14, 
784.0, 31.87, 
780.0, 32.64, 
776.0, 33.38, 
772.0, 34.11, 
768.0, 34.81, 
764.0, 35.42, 
760.0, 35.95, 
756.0, 36.27, 
752.0, 36.49, 
748.0, 36.47, 
744.0, 36.26, 
740.0, 35.81, 
736.0, 34.98, 
732.0, 34.01, 
728.0, 32.84, 
724.0, 31.44, 
720.0, 29.86, 
716.0, 28.12, 
712.0, 26.25, 
708.0, 24.26, 
704.0, 22.24, 
700.0, 20.20, 
696.0, 18.22, 
692.0, 16.37, 
688.0, 14.70, 
684.0, 13.22, 
680.0, 11.99, 
676.0, 11.01, 
672.0, 10.24, 
668.0, 9.70, 
664.0, 9.31, 
660.0, 9.05, 
656.0, 8.81, 
652.0, 8.56, 
648.0, 8.27, 
644.0, 7.96, 
640.0, 7.64, 
636.0, 7.34, 
632.0, 7.08, 
628.0, 6.84, 
624.0, 6.66, 
620.0, 6.51, 
616.0, 6.41, 
612.0, 6.35, 
608.0, 6.37, 
604.0, 6.45, 
600.0, 6.61, 
596.0, 6.87, 
592.0, 7.19, 
588.0, 7.58, 
584.0, 8.02, 
580.0, 8.51, 
576.0, 9.05, 
572.0, 9.64, 
568.0, 10.26, 
564.0, 10.93, 
560.0, 11.64, 
556.0, 12.42, 
552.0, 13.20, 
548.0, 14.04, 
544.0, 14.91, 
540.0, 15.81, 
536.0, 16.73, 
532.0, 17.70, 
528.0, 18.71, 
524.0, 19.76, 
520.0, 20.85, 
516.0, 22.00, 
512.0, 23.19, 
508.0, 24.47, 
504.0, 25.83, 
500.0, 27.31, 
496.0, 28.87, 
492.0, 30.53, 
488.0, 32.20, 
484.0, 33.68, 
480.0, 34.64, 
476.0, 34.70, 
472.0, 33.57, 
468.0, 31.49, 
464.0, 29.13, 
460.0, 26.84, 
456.0, 24.51, 
452.0, 22.01, 
448.0, 19.63, 
444.0, 17.76, 
440.0, 16.63, 
436.0, 16.06, 
432.0, 15.94, 
428.0, 16.11, 
424.0, 16.12, 
420.0, 15.66, 
416.0, 14.80, 
412.0, 13.98, 
408.0, 13.30, 
404.0, 12.49, 
400.0, 11.45, 
396.0, 10.45, 
392.0, 9.58, 
388.0, 8.85, 
384.0, 8.32, 
380.0, 8.05, 
376.0, 8.12, 
372.0, 8.47, 
368.0, 8.84, 
364.0, 9.86, 
360.0, 10.86, 
356.0, 11.86, 
352.0, 12.74, 
348.0, 13.44, 
344.0, 13.85, 
340.0, 14.04, 
336.0, 14.07, 
332.0, 13.97, 
328.0, 13.83, 
324.0, 13.66, 
320.0, 13.42, 
316.0, 12.85, 
312.0, 11.20, 
308.0, 10.16, 
304.0, 9.40, 
300.0, 8.55, 
