Created as New Dataset, , 
nm, %T, 
900.0, 79.60, 
896.0, 79.39, 
892.0, 79.22, 
888.0, 79.06, 
884.0, 78.86, 
880.0, 78.52, 
876.0, 78.30, 
872.0, 78.02, 
868.0, 77.75, 
864.0, 77.49, 
860.0, 77.19, 
856.0, 77.02, 
852.0, 75.85, 
848.0, 75.47, 
844.0, 75.16, 
840.0, 75.16, 
836.0, 74.72, 
832.0, 74.42, 
828.0, 73.89, 
824.0, 73.52, 
820.0, 73.01, 
816.0, 72.41, 
812.0, 71.77, 
808.0, 71.16, 
804.0, 70.35, 
800.0, 69.62, 
796.0, 68.52, 
792.0, 67.53, 
788.0, 66.27, 
784.0, 64.85, 
780.0, 63.47, 
776.0, 61.76, 
772.0, 59.85, 
768.0, 57.80, 
764.0, 55.46, 
760.0, 52.88, 
756.0, 50.12, 
752.0, 47.22, 
748.0, 44.08, 
744.0, 40.94, 
740.0, 37.81, 
736.0, 34.68, 
732.0, 31.75, 
728.0, 29.06, 
724.0, 26.67, 
720.0, 24.68, 
716.0, 23.19, 
712.0, 22.34, 
708.0, 22.11, 
704.0, 22.59, 
700.0, 23.65, 
696.0, 25.29, 
692.0, 27.26, 
688.0, 29.53, 
684.0, 31.92, 
680.0, 34.22, 
676.0, 36.50, 
672.0, 38.52, 
668.0, 40.23, 
664.0, 41.56, 
660.0, 42.65, 
656.0, 43.59, 
652.0, 44.48, 
648.0, 45.45, 
644.0, 46.58, 
640.0, 47.88, 
636.0, 49.28, 
632.0, 50.81, 
628.0, 52.34, 
624.0, 53.89, 
620.0, 55.46, 
616.0, 57.12, 
612.0, 58.82, 
608.0, 60.57, 
604.0, 62.29, 
600.0, 63.98, 
596.0, 65.57, 
592.0, 67.00, 
588.0, 68.29, 
584.0, 69.44, 
580.0, 70.44, 
576.0, 71.40, 
572.0, 72.17, 
568.0, 72.85, 
564.0, 73.35, 
560.0, 73.80, 
556.0, 74.13, 
552.0, 74.29, 
548.0, 74.37, 
544.0, 74.29, 
540.0, 74.06, 
536.0, 73.71, 
532.0, 73.26, 
528.0, 72.69, 
524.0, 71.97, 
520.0, 71.11, 
516.0, 70.12, 
512.0, 68.95, 
508.0, 67.63, 
504.0, 66.00, 
500.0, 64.08, 
496.0, 61.74, 
492.0, 58.90, 
488.0, 55.40, 
484.0, 50.92, 
480.0, 45.64, 
476.0, 39.59, 
472.0, 32.68, 
468.0, 25.98, 
464.0, 20.88, 
460.0, 18.25, 
456.0, 18.01, 
452.0, 19.55, 
448.0, 22.28, 
444.0, 25.13, 
440.0, 27.34, 
436.0, 28.84, 
432.0, 29.43, 
428.0, 29.07, 
424.0, 28.32, 
420.0, 28.34, 
416.0, 29.47, 
412.0, 30.93, 
408.0, 32.25, 
404.0, 34.03, 
400.0, 36.82, 
396.0, 40.02, 
392.0, 43.25, 
388.0, 46.64, 
384.0, 50.02, 
380.0, 53.15, 
376.0, 55.84, 
372.0, 57.58, 
368.0, 58.14, 
364.0, 57.92, 
360.0, 57.00, 
356.0, 55.34, 
352.0, 53.02, 
348.0, 50.15, 
344.0, 47.38, 
340.0, 44.87, 
336.0, 42.79, 
332.0, 41.15, 
328.0, 40.00, 
324.0, 38.90, 
320.0, 37.44, 
316.0, 35.30, 
312.0, 32.75, 
308.0, 29.91, 
304.0, 27.07, 
300.0, 24.10, 
