Created as New Dataset, , 
nm, %R, 
900.0, 17.76, 
896.0, 17.86, 
892.0, 17.96, 
888.0, 18.10, 
884.0, 18.35, 
880.0, 18.57, 
876.0, 18.74, 
872.0, 18.94, 
868.0, 19.15, 
864.0, 19.37, 
860.0, 19.64, 
856.0, 19.76, 
852.0, 18.26, 
848.0, 19.04, 
844.0, 19.86, 
840.0, 20.60, 
836.0, 21.14, 
832.0, 21.66, 
828.0, 22.11, 
824.0, 22.61, 
820.0, 23.05, 
816.0, 23.47, 
812.0, 23.90, 
808.0, 24.39, 
804.0, 24.91, 
800.0, 25.37, 
796.0, 25.91, 
792.0, 26.48, 
788.0, 27.02, 
784.0, 27.56, 
780.0, 28.26, 
776.0, 28.92, 
772.0, 29.62, 
768.0, 30.39, 
764.0, 31.18, 
760.0, 32.00, 
756.0, 32.84, 
752.0, 33.81, 
748.0, 34.69, 
744.0, 35.65, 
740.0, 36.64, 
736.0, 37.50, 
732.0, 38.35, 
728.0, 39.18, 
724.0, 39.84, 
720.0, 40.42, 
716.0, 40.82, 
712.0, 41.16, 
708.0, 41.21, 
704.0, 41.20, 
700.0, 41.09, 
696.0, 40.83, 
692.0, 40.65, 
688.0, 40.46, 
684.0, 40.36, 
680.0, 40.30, 
676.0, 40.23, 
672.0, 40.25, 
668.0, 40.37, 
664.0, 40.47, 
660.0, 40.64, 
656.0, 40.87, 
652.0, 41.11, 
648.0, 41.34, 
644.0, 41.55, 
640.0, 41.69, 
636.0, 41.73, 
632.0, 41.64, 
628.0, 41.28, 
624.0, 40.58, 
620.0, 39.27, 
616.0, 37.25, 
612.0, 34.39, 
608.0, 31.01, 
604.0, 27.85, 
600.0, 25.54, 
596.0, 23.91, 
592.0, 22.36, 
588.0, 20.63, 
584.0, 18.65, 
580.0, 16.66, 
576.0, 14.94, 
572.0, 13.50, 
568.0, 12.17, 
564.0, 10.83, 
560.0, 9.69, 
556.0, 8.91, 
552.0, 8.56, 
548.0, 8.41, 
544.0, 8.25, 
540.0, 8.00, 
536.0, 7.66, 
532.0, 7.34, 
528.0, 7.02, 
524.0, 6.66, 
520.0, 6.25, 
516.0, 5.84, 
512.0, 5.47, 
508.0, 5.21, 
504.0, 5.04, 
500.0, 4.95, 
496.0, 5.05, 
492.0, 5.44, 
488.0, 6.32, 
484.0, 7.87, 
480.0, 10.15, 
476.0, 13.08, 
472.0, 16.67, 
468.0, 20.36, 
464.0, 23.65, 
460.0, 26.33, 
456.0, 28.40, 
452.0, 29.84, 
448.0, 30.77, 
444.0, 31.36, 
440.0, 31.98, 
436.0, 32.72, 
432.0, 33.57, 
428.0, 34.67, 
424.0, 36.07, 
420.0, 37.42, 
416.0, 38.19, 
412.0, 38.33, 
408.0, 38.28, 
404.0, 37.86, 
400.0, 36.77, 
396.0, 34.83, 
392.0, 32.20, 
388.0, 28.85, 
384.0, 24.89, 
380.0, 20.50, 
376.0, 16.08, 
372.0, 11.93, 
368.0, 9.04, 
364.0, 7.30, 
360.0, 6.51, 
356.0, 6.32, 
352.0, 6.32, 
348.0, 6.20, 
344.0, 6.02, 
340.0, 6.01, 
336.0, 6.38, 
332.0, 7.04, 
328.0, 7.94, 
324.0, 8.72, 
320.0, 9.18, 
316.0, 9.06, 
312.0, 8.51, 
308.0, 7.94, 
304.0, 7.46, 
300.0, 7.22, 
