Created as New Dataset, , 
nm, %T, 
900.0, 69.47, 
896.0, 69.44, 
892.0, 69.44, 
888.0, 69.40, 
884.0, 69.37, 
880.0, 69.17, 
876.0, 69.09, 
872.0, 68.98, 
868.0, 68.86, 
864.0, 68.72, 
860.0, 68.58, 
856.0, 68.64, 
852.0, 67.54, 
848.0, 67.46, 
844.0, 67.28, 
840.0, 67.30, 
836.0, 67.17, 
832.0, 67.03, 
828.0, 66.72, 
824.0, 66.53, 
820.0, 66.26, 
816.0, 65.89, 
812.0, 65.60, 
808.0, 65.23, 
804.0, 64.84, 
800.0, 64.38, 
796.0, 63.80, 
792.0, 63.38, 
788.0, 62.74, 
784.0, 62.07, 
780.0, 61.41, 
776.0, 60.62, 
772.0, 59.73, 
768.0, 58.79, 
764.0, 57.67, 
760.0, 56.38, 
756.0, 54.90, 
752.0, 53.30, 
748.0, 51.42, 
744.0, 49.36, 
740.0, 47.22, 
736.0, 44.90, 
732.0, 42.53, 
728.0, 40.27, 
724.0, 38.12, 
720.0, 36.30, 
716.0, 34.84, 
712.0, 33.99, 
708.0, 33.68, 
704.0, 34.02, 
700.0, 34.82, 
696.0, 35.96, 
692.0, 37.29, 
688.0, 38.71, 
684.0, 40.00, 
680.0, 41.16, 
676.0, 42.15, 
672.0, 42.90, 
668.0, 43.46, 
664.0, 43.77, 
660.0, 43.82, 
656.0, 43.76, 
652.0, 43.54, 
648.0, 43.23, 
644.0, 42.85, 
640.0, 42.34, 
636.0, 41.62, 
632.0, 40.71, 
628.0, 39.43, 
624.0, 37.72, 
620.0, 35.47, 
616.0, 32.54, 
612.0, 28.75, 
608.0, 24.13, 
604.0, 19.08, 
600.0, 14.57, 
596.0, 11.47, 
592.0, 9.90, 
588.0, 9.62, 
584.0, 10.38, 
580.0, 11.80, 
576.0, 13.43, 
572.0, 14.87, 
568.0, 16.39, 
564.0, 18.36, 
560.0, 20.65, 
556.0, 22.60, 
552.0, 23.46, 
548.0, 23.53, 
544.0, 23.45, 
540.0, 23.91, 
536.0, 25.06, 
532.0, 26.70, 
528.0, 28.77, 
524.0, 31.38, 
520.0, 34.56, 
516.0, 37.83, 
512.0, 40.64, 
508.0, 42.96, 
504.0, 45.03, 
500.0, 47.37, 
496.0, 50.14, 
492.0, 52.97, 
488.0, 55.02, 
484.0, 55.38, 
480.0, 53.60, 
476.0, 49.53, 
472.0, 43.32, 
468.0, 36.54, 
464.0, 31.11, 
460.0, 28.29, 
456.0, 27.96, 
452.0, 29.35, 
448.0, 31.60, 
444.0, 33.71, 
440.0, 35.00, 
436.0, 35.55, 
432.0, 35.32, 
428.0, 34.30, 
424.0, 32.78, 
420.0, 31.69, 
416.0, 31.55, 
412.0, 31.78, 
408.0, 31.91, 
404.0, 32.30, 
400.0, 33.41, 
396.0, 34.95, 
392.0, 36.58, 
388.0, 38.36, 
384.0, 40.24, 
380.0, 41.94, 
376.0, 43.18, 
372.0, 43.24, 
368.0, 41.85, 
364.0, 39.08, 
360.0, 35.01, 
356.0, 30.24, 
352.0, 25.35, 
348.0, 20.73, 
344.0, 16.97, 
340.0, 14.21, 
336.0, 12.07, 
332.0, 10.08, 
328.0, 8.14, 
324.0, 6.34, 
320.0, 4.89, 
316.0, 3.68, 
312.0, 2.56, 
308.0, 1.72, 
304.0, 1.08, 
300.0, 0.60, 
